region,province,municipality,active_population,employed_population
Oued Ed dahab Lagouira,Aousserd,(Tous),3 314,2 879
Oued Ed dahab Lagouira,Aousserd,MU-Lagouira,1 071,952
Oued Ed dahab Lagouira,Aousserd,CR-Aghouinite,61,51
Oued Ed dahab Lagouira,Aousserd,CR-Aousserd,494,330
Oued Ed dahab Lagouira,Aousserd,CR-Tichla,208,167
Oued Ed dahab Lagouira,Aousserd,CR-Zoug,243,191
Oued Ed dahab Lagouira,Aousserd,CR-Bir Gandouz,1 237,1 188
Oued Ed dahab Lagouira,Oued Ed Dahab,(Tous),27 888,25 591
Oued Ed dahab Lagouira,Oued Ed Dahab,MU-Dakhla,20 775,18 903
Oued Ed dahab Lagouira,Oued Ed Dahab,CR-Bir Anzarane,570,413
Oued Ed dahab Lagouira,Oued Ed Dahab,CR-Gleibat El Foula,92,62
Oued Ed dahab Lagouira,Oued Ed Dahab,CR-Mijik,177,135
Oued Ed dahab Lagouira,Oued Ed Dahab,CR-Oum Dreyga,152,102
Oued Ed dahab Lagouira,Oued Ed Dahab,CR-El Argoub,4 134,4 044
Oued Ed dahab Lagouira,Oued Ed Dahab,CR-Imlili,1 988,1 932
Laayoune Boujdour Sakia El Hamra,Boujdour,(Tous),15 007,13 014
Laayoune Boujdour Sakia El Hamra,Boujdour,MU-Boujdour,12 742,10 802
Laayoune Boujdour Sakia El Hamra,Boujdour,CR-Gueltat Zemmour,339,335
Laayoune Boujdour Sakia El Hamra,Boujdour,CR-Jraifia,1 110,1 081
Laayoune Boujdour Sakia El Hamra,Boujdour,CR-Lamssid,816,796
Laayoune Boujdour Sakia El Hamra,Laayoune,(Tous),77 441,58 902
Laayoune Boujdour Sakia El Hamra,Laayoune,MU-ElMarsa,5 616,5 288
Laayoune Boujdour Sakia El Hamra,Laayoune,MU-Laayoune,65 307,48 082
Laayoune Boujdour Sakia El Hamra,Laayoune,MU-Tarfaya,2 040,1 816
Laayoune Boujdour Sakia El Hamra,Laayoune,CR-Boukraa,981,837
Laayoune Boujdour Sakia El Hamra,Laayoune,CR-Dcheira,697,489
Laayoune Boujdour Sakia El Hamra,Laayoune,CR-Foum El Oued,764,705
Laayoune Boujdour Sakia El Hamra,Laayoune,CR-Akhfennir,682,646
Laayoune Boujdour Sakia El Hamra,Laayoune,CR-Daoura,417,355
Laayoune Boujdour Sakia El Hamra,Laayoune,CR-ElHagounia,401,285
Laayoune Boujdour Sakia El Hamra,Laayoune,CR-Tah,536,399
Guelmim Es semara,Assa Zag,(Tous),7 270,5 466
Guelmim Es semara,Assa Zag,MU-Assa,2 987,2 029
Guelmim Es semara,Assa Zag,MU-Zag,1 933,1 493
Guelmim Es semara,Assa Zag,CR-Aouint Lahna,759,649
Guelmim Es semara,Assa Zag,CR-Aouint Yghomane,721,569
Guelmim Es semara,Assa Zag,CR-Touizgui,432,318
